accession,origin,subtype,strain
EPI_ISL_528951,HUMAN,H1N1,A/Victoria/2570/2019
EPI_ISL_19644012,HUMAN,H1N1,A/Norway/06906/2024
EPI_ISL_20294962,HUMAN,H1N1,A/Missouri/11/2025
EPI_ISL_19731580,HUMAN,H1N1,A/Norway/00926/2025
EPI_ISL_20275562,HUMAN,H1N1,A/Lisboa/188/2023
EPI_ISL_19252612,HUMAN,H1N1,A/Netherlands/10481/2024
EPI_ISL_19558658,HUMAN,H1N1,A/Wisconsin/67/2022
EPI_ISL_19465945,HUMAN,H1N1,A/Victoria/4897/2022
EPI_ISL_20303885,HUMAN,H1N1,A/Missouri/11/2025
EPI_ISL_19204767,HUMAN,H1N1,A/Poland/28/2024
EPI_ISL_12109641,HUMAN,H3N2,A/Darwin/9/2021
EPI_ISL_20275327,HUMAN,H3N2,A/Netherlands/10685/2024
EPI_ISL_19558650,HUMAN,H3N2,A/France/IDF-IPP29542/2023
EPI_ISL_18919792,HUMAN,H3N2,A/Sydney/856/2023
EPI_ISL_20307689,HUMAN,H3N2,A/Singapore/GP20238/2024
EPI_ISL_19194107,HUMAN,H3N2,A/Thailand/8/2022
EPI_ISL_19185092,HUMAN,H3N2,A/Lisboa/216/2023
EPI_ISL_20303892,HUMAN,H3N2,A/Norway/8765/2025
EPI_ISL_20142977,HUMAN,H3N2,A/Darwin/9/2021
EPI_ISL_20231686,HUMAN,H3N2,A/Croatia/10136RV/2023
EPI_ISL_19643989,HUMAN,H3N2,A/Switzerland/59652/2024
EPI_ISL_18604311,HUMAN,H3N2,A/Canberra/331/2023
EPI_ISL_19812971,HUMAN,H3N2,A/Victoria/211/2025
EPI_ISL_246494,HUMAN,B/Victoria,B/Brisbane/60/2008
EPI_ISL_18879402,HUMAN,B/Victoria,B/Catalonia/2279261NS/2023
EPI_ISL_18044481,HUMAN,B/Victoria,B/Moldova/2030521/2023
EPI_ISL_20170149,HUMAN,B/Victoria,B/Kanagawa/AC2414/2025
EPI_ISL_16884639,HUMAN,B/Victoria,B/Washington/02/2019
EPI_ISL_19387213,HUMAN,B/Victoria,B/Greece/5509/2024
EPI_ISL_18109028,HUMAN,B/Victoria,B/Catalonia/3514402NS/2023
EPI_ISL_20275587,HUMAN,B/Victoria,B/Stockholm/3/2022
EPI_ISL_19586781,HUMAN,B/Victoria,B/Austria/1359417/2021
EPI_ISL_20303880,HUMAN,B/Victoria,B/Switzerland/329/2024
EPI_ISL_3535243,HUMAN,B/Victoria,B/Cote_D'Ivoire/948/2020
EPI_ISL_406236,HUMAN,B/Victoria,B/Croatia/7789/2019
EPI_ISL_17076080,HUMAN,B/Victoria,B/Netherlands/10335/2023
EPI_ISL_18962721,HUMAN,B/Victoria,B/Greece/5509/2024
