Sample	Top over-represented sequence	Sum of remaining over-represented sequences
252232567_N	2.200557103064067	13.356545961002787
252232865_N	2.6737967914438503	97.32620320855577
252233208_N	1.227830832196453	98.77216916780304
252233210_N	9.266605635235479	27.76294374936426
252234481_N	10.988010320230687	31.1428137805433
252236587_N	9.730761672141274	34.79322833319296
252238148_N	16.51861821444594	31.431135038133664
252303316B_N	21.568185235302963	30.451561168746537
252303316_N	3.9705882352941173	96.02941176470485
252308239_N	10.429357074157194	40.19088016967126
252308330_N	12.692275363537025	24.58182735143315
