Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
252232567_N										6.392757660167131	3.384401114206128	3.7047353760445683	0.0	0.0	0.0	0.0
252232865_N										0.0	0.0	0.0	0.0	0.0	0.0	0.0
252233208_N										0.0	0.0	0.0	0.0	0.0	0.0	0.0
252233210_N										10.53046485606754	3.065557929000102	12.143983318075476	1.7775404333231615	12.829315430780186	9.266605635235479	0.0
252234481_N										11.640613143117315	1.8212171801487327	6.814387615723175	19.669145545606316	0.0	0.0	0.0
252236587_N										9.809371402902944	4.762907437042028	9.28437070103035	1.4753361969735252	21.745416771947557	9.730761672141274	0.0
252238148_N										10.094212651413189	4.737550471063257	6.4064602960969035	0.0	27.922835352175863	0.0	0.0
252303316B_N										8.825740490151857	4.28005813662106	10.629980454067057	3.996892697839924	10.79286322858718	21.568185235302963	0.0
252303316_N										6.323529411764706	0.0	0.0	0.0	0.0	0.0	0.0
252308239_N										6.106192507830032	1.9951170189153864	3.6351081407679597	1.3933759155589533	42.81486596463538	0.0	0.0
252308330_N										6.190636294864252	0.9876439438513912	5.396318399596537	5.186181390266454	22.413213415146675	0.0	0.0
