Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
252232567_N	22.033426183844	49.0	447.0434540389972	299	40.0	7180.0
252232865_N	6.417112299465245	44.0	695.9572192513369	549	40.0	187.0
252233208_N	4.911323328785812	44.0	537.3697135061392	249	30.0	733.0
252233210_N	57.93027158986878	61.0	908.24312124911	899	50.0	78648.0
252234481_N	48.77826680831689	45.0	1013.2872970101685	849	30.0	6589.0
252236587_N	64.54981891687021	44.0	1328.366223083186	1499	40.0	71238.0
252238148_N	58.41184387617766	41.0	1525.1462539255272	1499	50.0	11145.0
252303316B_N	67.17035032325967	42.0	1549.0201724051522	1499	50.0	39906.0
252303316_N	13.970588235294116	43.0	752.65	749	20.0	680.0
252308239_N	62.09277664060766	43.0	1289.1659966953562	1249	50.0	40549.0
252308330_N	47.56661343195764	42.0	1216.2897789358663	1299	50.0	23794.0
